category,process_or_topic,unit,samples,total,average,minimum,maximum,time_type,avg_time_ms,min_time_ms,max_time_ms,avg_rate_mbps,improvement_pct,contribution_to_total_improvement_pct,change_if_feature_removed_pct,measurement,formula_or_note
traffic,HaLow realtime traffic,wire bytes,89,44301,497.76404494382024,193,5345,sender processing time,239.30874924713305,5.860775947570801,1054.4827880859375,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
traffic,Wi-Fi sync traffic,wire bytes,3,19355,6451.666666666667,5345,7133,sender processing time,172.07583045959473,11.959287643432617,417.4400329589844,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
total,All transmitted traffic,wire bytes,92,63656,691.9130434782609,193,7133,sender processing time,237.1163714605829,5.860775947570801,1054.4827880859375,,,,,measured,Total of all realtime and synchronization messages at sender.
pipeline,Raw point-cloud input,serialized bytes,89,32824713,368817.0,368817,368817,N/A,,,,,,,,measured,Exact CDR-serialized PointCloud2 size.
preprocessing,Range/validity filtering,points,89,525695,5906.685393258427,,,N/A,,,,,48.72668929463171,,,measured count,improvement = 100 × (raw_points - valid_points) / raw_points. No byte claim.
preprocessing,Voxelization,voxels,89,325415,3656.3483146067415,,,N/A,,,,,38.09813675229934,,,measured count,improvement = 100 × (valid_points - unique_voxels) / valid_points. Units change from points to voxels; no byte claim.
preprocessing,Static-prior filtering,voxels removed,89,0,0.0,,,N/A,,,,,0.0,0.0,,measured count,contribution = static_removed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Temporal delta suppression,voxels suppressed,89,311224,3496.8988764044943,,,N/A,,,,,95.63910698646345,100.0,,measured count,contribution = temporal_suppressed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Selected voxel output,voxels,89,14191,159.4494382022472,,,N/A,,,,,,,,measured count,
compute overhead,TF transform lookup,milliseconds,89,,232.6709571264768,0.04207799956202507,1045.287109375,measured compute time,232.6709571264768,0.04207799956202507,1045.287109375,,,97.22626433779007,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,"Point filtering, transform, and voxelization",milliseconds,89,,1.663732742660501,0.4892430007457733,3.024190902709961,measured compute time,1.663732742660501,0.4892430007457733,3.024190902709961,,,0.6952243693114505,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Occupancy classification and transmission selection,milliseconds,89,,0.673554495311855,0.1957239955663681,1.8834689855575562,measured compute time,0.673554495311855,0.1957239955663681,1.8834689855575562,,,0.2814583659940817,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Ray clearing and stale-cell cleanup,milliseconds,89,,3.8723099740703453,1.208488941192627,8.081901550292969,measured compute time,3.8723099740703453,1.208488941192627,8.081901550292969,,,1.6181230256949062,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Complete sender pipeline,milliseconds,89,,239.30874924713305,5.860775947570801,1054.4827880859375,measured compute time,239.30874924713305,5.860775947570801,1054.4827880859375,,,100.0,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compression,SVD1 encoded input,payload bytes,89,61086,686.3595505617977,73,15110,N/A,,,,,,,,measured,Exact uncompressed SVD1 payload size before optional zstd.
compression,zstd compression,payload bytes,74,31822,430.02702702702703,140,5225,measured compute time,0.10885062139179255,0.023541999980807304,1.700613021850586,,46.32550137466898,0.08378479196661713,86.30821444283829,measured,improvement = (encoded-payload)/encoded; contribution = compression_savings/(raw-wire); removed change = (encoded-payload)/payload. Payload layer only; no wire-overhead estimate.
link,drone_to_humanoid_halow,Mbps,33,,0.012418243723611036,0.0,0.05364175885915756,network delivery latency,24.382125970089074,0.0,31.890371322631836,0.012418243723611036,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 51225.
link,drone_to_humanoid_wifi,Mbps,33,,0.004761889689799511,0.0,0.057835426181554794,network delivery latency,8.685659350770893,0.0,10.5451078414917,0.004761889689799511,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 19643.
total,All link metric windows,Mbps,66,,0.008590066706705275,0.0,0.057835426181554794,network delivery latency,16.533892660429984,0.0,31.890371322631836,0.008590066706705275,,,,measured,Unweighted aggregate across configured links and reporting windows.
delivery,All accepted receiver traffic,wire bytes,88,57307,651.2159090909091,193,7133,end-to-end delivery and decode time,100.22380269657482,31.18749237060547,331.1971435546875,,,,,measured,Exact receiver observations; end-to-end latency uses message timestamp plus decode time.
