category,process_or_topic,unit,samples,total,average,minimum,maximum,time_type,avg_time_ms,min_time_ms,max_time_ms,avg_rate_mbps,improvement_pct,contribution_to_total_improvement_pct,change_if_feature_removed_pct,measurement,formula_or_note
traffic,HaLow realtime traffic,wire bytes,462,190537,412.4177489177489,168,4481,sender processing time,7.625932327080599,2.011586904525757,14.478261947631836,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
traffic,Wi-Fi sync traffic,wire bytes,15,90259,6017.266666666666,4481,6280,sender processing time,8.411294651031493,2.7675790786743164,14.342845916748047,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
total,All transmitted traffic,wire bytes,477,280796,588.670859538784,168,6280,sender processing time,7.650629255506727,2.011586904525757,14.478261947631836,,,,,measured,Total of all realtime and synchronization messages at sender.
pipeline,Raw point-cloud input,serialized bytes,462,170393454,368817.0,368817,368817,N/A,,,,,,,,measured,Exact CDR-serialized PointCloud2 size.
preprocessing,Range/validity filtering,points,462,2361826,5112.177489177489,,,N/A,,,,,55.62345929533429,,,measured count,improvement = 100 × (raw_points - valid_points) / raw_points. No byte claim.
preprocessing,Voxelization,voxels,462,1649083,3569.443722943723,,,N/A,,,,,30.17762527806875,,,measured count,improvement = 100 × (valid_points - unique_voxels) / valid_points. Units change from points to voxels; no byte claim.
preprocessing,Static-prior filtering,voxels removed,462,0,0.0,,,N/A,,,,,0.0,0.0,,measured count,contribution = static_removed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Temporal delta suppression,voxels suppressed,462,1596687,3456.0324675324673,,,N/A,,,,,96.82271905052687,100.0,,measured count,contribution = temporal_suppressed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Selected voxel output,voxels,462,52396,113.41125541125541,,,N/A,,,,,,,,measured count,
compute overhead,Pose/transform resolution,milliseconds,462,,0.0958846364315454,0.02618899941444397,1.46151602268219,measured compute time,0.0958846364315454,0.02618899941444397,1.46151602268219,,,1.2573496894412186,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,"Point filtering, transform, and voxelization",milliseconds,462,,1.8225357863423113,0.49037599563598633,3.6954739093780518,measured compute time,1.8225357863423113,0.49037599563598633,3.6954739093780518,,,23.899186462359083,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Occupancy classification and transmission selection,milliseconds,462,,0.7689834004872805,0.1439729928970337,3.356775999069214,measured compute time,0.7689834004872805,0.1439729928970337,3.356775999069214,,,10.083795233227136,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Ray clearing and stale-cell cleanup,milliseconds,462,,4.495715686769197,1.084354043006897,9.32996940612793,measured compute time,4.495715686769197,1.084354043006897,9.32996940612793,,,58.95299740340433,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Complete sender pipeline,milliseconds,462,,7.625932327080599,2.011586904525757,14.478261947631836,measured compute time,7.625932327080599,2.011586904525757,14.478261947631836,,,100.0,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compression,SVD1 encoded input,payload bytes,462,221070,478.5064935064935,48,14493,N/A,,,,,,,,measured,Exact uncompressed SVD1 payload size before optional zstd.
compression,zstd compression,payload bytes,417,129570,310.71942446043164,127,4361,measured compute time,0.09468585399272059,0.023267000913619995,1.9285060167312622,,39.88670474104935,0.05051206026040082,66.35255074477116,measured,improvement = (encoded-payload)/encoded; contribution = compression_savings/(raw-wire); removed change = (encoded-payload)/payload. Payload layer only; no wire-overhead estimate.
link,drone_to_humanoid_halow,Mbps,148,,0.012601743294932955,0.0,0.049916476011276245,network delivery latency,26.462263725899362,0.0,29.431114196777344,0.012601743294932955,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 233133.
link,drone_to_humanoid_wifi,Mbps,148,,0.004956724952805687,0.0,0.0510101392865181,network delivery latency,8.948172975230861,0.0,9.722457885742188,0.004956724952805687,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 91699.
total,All link metric windows,Mbps,296,,0.008779234123869321,0.0,0.0510101392865181,network delivery latency,17.70521835056511,0.0,29.431114196777344,0.008779234123869321,,,,measured,Unweighted aggregate across configured links and reporting windows.
delivery,All accepted receiver traffic,wire bytes,460,270911,588.9369565217391,168,6280,end-to-end delivery and decode time,17.341370663435562,10.188407897949219,33.08384323120117,,,,,measured,Exact receiver observations; end-to-end latency uses message timestamp plus decode time.
