category,process_or_topic,unit,samples,total,average,minimum,maximum,time_type,avg_time_ms,min_time_ms,max_time_ms,avg_rate_mbps,improvement_pct,contribution_to_total_improvement_pct,change_if_feature_removed_pct,measurement,formula_or_note
traffic,HaLow realtime traffic,wire bytes,1054,439442,416.9278937381404,165,4471,sender processing time,7.860534792833129,2.086962938308716,16.440149307250977,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
traffic,Wi-Fi sync traffic,wire bytes,35,214579,6130.828571428571,4471,6262,sender processing time,10.629754543304443,3.285720109939575,17.614103317260742,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
total,All transmitted traffic,wire bytes,1089,654021,600.5702479338843,165,6262,sender processing time,7.94953634587858,2.086962938308716,17.614103317260742,,,,,measured,Total of all realtime and synchronization messages at sender.
pipeline,Raw point-cloud input,serialized bytes,1054,388733118,368817.0,368817,368817,N/A,,,,,,,,measured,Exact CDR-serialized PointCloud2 size.
preprocessing,Range/validity filtering,points,1054,5388050,5112.001897533207,,,N/A,,,,,55.62498352835758,,,measured count,improvement = 100 × (raw_points - valid_points) / raw_points. No byte claim.
preprocessing,Voxelization,voxels,1054,3762100,3569.3548387096776,,,N/A,,,,,30.17696569259751,,,measured count,improvement = 100 × (valid_points - unique_voxels) / valid_points. Units change from points to voxels; no byte claim.
preprocessing,Static-prior filtering,voxels removed,1054,0,0.0,,,N/A,,,,,0.0,0.0,,measured count,contribution = static_removed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Temporal delta suppression,voxels suppressed,1054,3646018,3459.220113851992,,,N/A,,,,,96.91443608622843,100.0,,measured count,contribution = temporal_suppressed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Selected voxel output,voxels,1054,116082,110.13472485768501,,,N/A,,,,,,,,measured count,
compute overhead,Pose/transform resolution,milliseconds,1054,,0.09772073524161128,0.033541999757289886,0.46478500962257385,measured compute time,0.09772073524161128,0.033541999757289886,0.46478500962257385,,,1.2431817658349213,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,"Point filtering, transform, and voxelization",milliseconds,1054,,1.9487695977855226,0.4461579918861389,4.502885818481445,measured compute time,1.9487695977855226,0.4461579918861389,4.502885818481445,,,24.791819502692363,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Occupancy classification and transmission selection,milliseconds,1054,,0.7977619634153043,0.20493799448013306,3.4280500411987305,measured compute time,0.7977619634153043,0.20493799448013306,3.4280500411987305,,,10.148952767726014,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Ray clearing and stale-cell cleanup,milliseconds,1054,,4.54726851257925,1.0192140340805054,12.023049354553223,measured compute time,4.54726851257925,1.0192140340805054,12.023049354553223,,,57.84935290567301,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Complete sender pipeline,milliseconds,1054,,7.860534792833129,2.086962938308716,16.440149307250977,measured compute time,7.860534792833129,2.086962938308716,16.440149307250977,,,100.0,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compression,SVD1 encoded input,payload bytes,1054,490441,465.31404174573055,45,14515,N/A,,,,,,,,measured,Exact uncompressed SVD1 payload size before optional zstd.
compression,zstd compression,payload bytes,1025,309314,301.76975609756096,124,4351,measured compute time,0.08550626841078444,0.023226000368595123,1.415742039680481,,36.45882336023731,0.04570741450859993,57.37826286556703,measured,improvement = (encoded-payload)/encoded; contribution = compression_savings/(raw-wire); removed change = (encoded-payload)/payload. Payload layer only; no wire-overhead estimate.
link,drone_to_humanoid_halow,Mbps,349,,0.012276235108602696,0.0,0.044515252113342285,network delivery latency,26.715314236616337,0.0,31.088302612304688,0.012276235108602696,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 535551.
link,drone_to_humanoid_wifi,Mbps,349,,0.004995644882449448,0.0,0.050863560289144516,network delivery latency,8.932860000085695,0.0,9.885926246643066,0.004995644882449448,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 217939.
total,All link metric windows,Mbps,698,,0.008635939995526072,0.0,0.050863560289144516,network delivery latency,17.824087118351017,0.0,31.088302612304688,0.008635939995526072,,,,measured,Unweighted aggregate across configured links and reporting windows.
delivery,All accepted receiver traffic,wire bytes,1043,633778,607.6490891658677,165,6262,end-to-end delivery and decode time,17.640948595959525,2.7728171348571777,82.17137908935547,,,,,measured,Exact receiver observations; end-to-end latency uses message timestamp plus decode time.
