category,process_or_topic,unit,samples,total,average,minimum,maximum,time_type,avg_time_ms,min_time_ms,max_time_ms,avg_rate_mbps,improvement_pct,contribution_to_total_improvement_pct,change_if_feature_removed_pct,measurement,formula_or_note
traffic,HaLow realtime traffic,wire bytes,396,164864,416.32323232323233,183,4491,sender processing time,6.352470849800592,1.935562014579773,14.713162422180176,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
traffic,Wi-Fi sync traffic,wire bytes,12,71379,5948.25,4491,6209,sender processing time,7.578242500623067,3.22468900680542,16.140647888183594,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
total,All transmitted traffic,wire bytes,408,236243,579.0269607843137,183,6209,sender processing time,6.388522957177723,1.935562014579773,16.140647888183594,,,,,measured,Total of all realtime and synchronization messages at sender.
pipeline,Raw point-cloud input,serialized bytes,396,146051532,368817.0,368817,368817,N/A,,,,,,,,measured,Exact CDR-serialized PointCloud2 size.
preprocessing,Range/validity filtering,points,396,2024399,5112.118686868687,,,N/A,,,,,55.623969732042646,,,measured count,improvement = 100 × (raw_points - valid_points) / raw_points. No byte claim.
preprocessing,Voxelization,voxels,396,1413539,3569.5429292929293,,,N/A,,,,,30.174881532741324,,,measured count,improvement = 100 × (valid_points - unique_voxels) / valid_points. Units change from points to voxels; no byte claim.
preprocessing,Static-prior filtering,voxels removed,396,0,0.0,,,N/A,,,,,0.0,0.0,,measured count,contribution = static_removed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Temporal delta suppression,voxels suppressed,396,1367557,3453.4267676767677,,,N/A,,,,,96.74702997228941,100.0,,measured count,contribution = temporal_suppressed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Selected voxel output,voxels,396,45982,116.11616161616162,,,N/A,,,,,,,,measured count,
compute overhead,Pose/transform resolution,milliseconds,396,,0.08142918685093672,0.03371400013566017,0.40400999784469604,measured compute time,0.08142918685093672,0.03371400013566017,0.40400999784469604,,,1.281850618070807,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,"Point filtering, transform, and voxelization",milliseconds,396,,1.5062035975432155,0.4714120030403137,3.712549924850464,measured compute time,1.5062035975432155,0.4714120030403137,3.712549924850464,,,23.710515689977488,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Occupancy classification and transmission selection,milliseconds,396,,0.6394163872482199,0.16139599680900574,3.167370080947876,measured compute time,0.6394163872482199,0.16139599680900574,3.167370080947876,,,10.065632765056948,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Ray clearing and stale-cell cleanup,milliseconds,396,,3.739444350654429,0.9830989837646484,9.020015716552734,measured compute time,3.739444350654429,0.9830989837646484,9.020015716552734,,,58.865982057545565,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Complete sender pipeline,milliseconds,396,,6.352470849800592,1.935562014579773,14.713162422180176,measured compute time,6.352470849800592,1.935562014579773,14.713162422180176,,,100.0,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compression,SVD1 encoded input,payload bytes,396,193891,489.62373737373736,63,14450,N/A,,,,,,,,measured,Exact uncompressed SVD1 payload size before optional zstd.
compression,zstd compression,payload bytes,356,112363,315.62640449438203,124,4371,measured compute time,0.0739717136262759,0.023768000304698944,1.012436032295227,,40.520353607537984,0.052470181853766104,68.12473857052588,measured,improvement = (encoded-payload)/encoded; contribution = compression_savings/(raw-wire); removed change = (encoded-payload)/payload. Payload layer only; no wire-overhead estimate.
link,drone_to_humanoid_halow,Mbps,119,,0.013526714708217803,0.0,0.050540946424007416,network delivery latency,26.431322386284837,0.0,29.408811569213867,0.013526714708217803,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 201213.
link,drone_to_humanoid_wifi,Mbps,119,,0.004875955993638319,0.0,0.05044104903936386,network delivery latency,9.197444018195657,0.0,10.48136043548584,0.004875955993638319,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 72531.
total,All link metric windows,Mbps,238,,0.00920133535092806,0.0,0.050540946424007416,network delivery latency,17.814383202240247,0.0,29.408811569213867,0.00920133535092806,,,,measured,Unweighted aggregate across configured links and reporting windows.
delivery,All accepted receiver traffic,wire bytes,394,227533,577.494923857868,183,6209,end-to-end delivery and decode time,18.25880765188769,11.217588424682617,29.152130126953125,,,,,measured,Exact receiver observations; end-to-end latency uses message timestamp plus decode time.
