category,process_or_topic,unit,samples,total,average,minimum,maximum,time_type,avg_time_ms,min_time_ms,max_time_ms,avg_rate_mbps,improvement_pct,contribution_to_total_improvement_pct,change_if_feature_removed_pct,measurement,formula_or_note
traffic,HaLow realtime traffic,wire bytes,376,148331,394.4973404255319,176,4510,sender processing time,5.355701192579371,1.93641197681427,12.915681838989258,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
traffic,Wi-Fi sync traffic,wire bytes,11,65353,5941.181818181818,4510,6181,sender processing time,8.023724100806497,2.6887691020965576,14.289578437805176,,,,,measured,Exact ROS serialized message size; latency is sender processing time.
total,All transmitted traffic,wire bytes,387,213684,552.1550387596899,176,6181,sender processing time,5.431536469040607,1.93641197681427,14.289578437805176,,,,,measured,Total of all realtime and synchronization messages at sender.
pipeline,Raw point-cloud input,serialized bytes,376,138675192,368817.0,368817,368817,N/A,,,,,,,,measured,Exact CDR-serialized PointCloud2 size.
preprocessing,Range/validity filtering,points,376,1922167,5112.146276595745,,,N/A,,,,,55.62373023788416,,,measured count,improvement = 100 × (raw_points - valid_points) / raw_points. No byte claim.
preprocessing,Voxelization,voxels,376,1342243,3569.7952127659573,,,N/A,,,,,30.170323390215316,,,measured count,improvement = 100 × (valid_points - unique_voxels) / valid_points. Units change from points to voxels; no byte claim.
preprocessing,Static-prior filtering,voxels removed,376,0,0.0,,,N/A,,,,,0.0,0.0,,measured count,contribution = static_removed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Temporal delta suppression,voxels suppressed,376,1302881,3465.1090425531916,,,N/A,,,,,97.06744605857509,100.0,,measured count,contribution = temporal_suppressed / (static_removed + temporal_suppressed). Removal counterfactual is N/A without a paired ablation run.
preprocessing,Selected voxel output,voxels,376,39362,104.68617021276596,,,N/A,,,,,,,,measured count,
compute overhead,Pose/transform resolution,milliseconds,376,,0.07293583765289093,0.029032999649643898,0.27029699087142944,measured compute time,0.07293583765289093,0.029032999649643898,0.27029699087142944,,,1.3618354540381694,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,"Point filtering, transform, and voxelization",milliseconds,376,,1.305928111234878,0.44179201126098633,3.7586379051208496,measured compute time,1.305928111234878,0.44179201126098633,3.7586379051208496,,,24.383886708323377,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Occupancy classification and transmission selection,milliseconds,376,,0.5410757582396903,0.18807299435138702,1.7798930406570435,measured compute time,0.5410757582396903,0.18807299435138702,1.7798930406570435,,,10.102799592131497,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Ray clearing and stale-cell cleanup,milliseconds,376,,3.095400755075698,0.9496489763259888,8.226412773132324,measured compute time,3.095400755075698,0.9496489763259888,8.226412773132324,,,57.796367716790336,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compute overhead,Complete sender pipeline,milliseconds,376,,5.355701192579371,1.93641197681427,12.915681838989258,measured compute time,5.355701192579371,1.93641197681427,12.915681838989258,,,100.0,,measured,Contribution = mean stage compute time / mean complete sender time. Time saved if removed is N/A; removing a stage can change downstream work and requires an ablation run.
compression,SVD1 encoded input,payload bytes,376,166443,442.6675531914894,56,14489,N/A,,,,,,,,measured,Exact uncompressed SVD1 payload size before optional zstd.
compression,zstd compression,payload bytes,313,95365,304.6805111821086,122,4390,measured compute time,0.07155337010304959,0.022991999983787537,1.2330349683761597,,39.86960661298764,0.04564602095473744,66.30524825669795,measured,improvement = (encoded-payload)/encoded; contribution = compression_savings/(raw-wire); removed change = (encoded-payload)/payload. Payload layer only; no wire-overhead estimate.
link,drone_to_humanoid_halow,Mbps,109,,0.0134460046895942,0.0,0.05023977905511856,network delivery latency,26.434070534662368,0.0,29.238603591918945,0.0134460046895942,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 183201.
link,drone_to_humanoid_wifi,Mbps,109,,0.0048740908776948215,0.0,0.05021367222070694,network delivery latency,8.96497127987923,0.0,9.708383560180664,0.0048740908776948215,,,,measured,Throughput is measured per link window; final measured cumulative transmitted bytes = 66409.
total,All link metric windows,Mbps,218,,0.009160047783644511,0.0,0.05023977905511856,network delivery latency,17.6995209072708,0.0,29.238603591918945,0.009160047783644511,,,,measured,Unweighted aggregate across configured links and reporting windows.
delivery,All accepted receiver traffic,wire bytes,373,205067,549.7774798927614,176,6181,end-to-end delivery and decode time,24.15810725644191,15.308727264404297,36.15656661987305,,,,,measured,Exact receiver observations; end-to-end latency uses message timestamp plus decode time.
